symbol,half_spread,impact_$100K,total_$100K,depth_buy_$100K,impact_$375K,total_$375K,depth_buy_$375K,impact_$1M,total_$1M,depth_buy_$1M,impact_$5M,total_$5M,depth_buy_$5M,ac_impact_375K,vol_annual,adtv_weekly
BTC,7.152098676491321e-07,7.152098676491321e-07,7.152098676491321e-07,256008.95900000003,2.1542739123312493e-06,2.1542739123312493e-06,270830.32009999995,2.1542739123312493e-06,2.1542739123312493e-06,270830.32009999995,2.1542739123312493e-06,2.1542739123312493e-06,270830.32009999995,0.00018058500375538056,0.40699406864113863,13227615752.2822
BTR,0.00032173306879720425,0.0021448001629327564,0.0021448001629327564,2425.42274,0.0021448001629327564,0.0021448001629327564,2425.42274,0.0021448001629327564,0.0021448001629327564,2425.42274,0.0021448001629327564,0.0021448001629327564,2425.42274,0.02,4.757288750219804,2191338.24584
C98,0.001904761904761893,0.015203292086035722,0.015203292086035722,132407.64630000002,0.038380334885875805,0.038380334885875805,314037.57019999996,0.038380334885875805,0.038380334885875805,314037.57019999996,0.038380334885875805,0.038380334885875805,314037.57019999996,0.02,1.1815873680552593,3043673.4273
CAKE,3.6583135174680435e-05,0.0008721265752898227,0.0008721265752898227,33243.58700000001,0.0008721265752898227,0.0008721265752898227,33243.58700000001,0.0008721265752898227,0.0008721265752898227,33243.58700000001,0.0008721265752898227,0.0008721265752898227,33243.58700000001,0.010137382600008871,0.570243226570471,8240192.7561
CATI,0.00026178010471203123,0.0031726580774520275,0.0031726580774520275,15993.71586,0.0031726580774520275,0.0031726580774520275,15993.71586,0.0031726580774520275,0.0031726580774520275,15993.71586,0.0031726580774520275,0.0031726580774520275,15993.71586,0.02,0.5029209451300657,688947.74673
CC,3.216778717786292e-05,0.0008323712859394491,0.0008323712859394491,10778.81793,0.0008323712859394491,0.0008323712859394491,10778.81793,0.0008323712859394491,0.0008323712859394491,10778.81793,0.0008323712859394491,0.0008323712859394491,10778.81793,0.01781078276249733,1.000104080586883,8210945.33841
CELO,0.006535947712418307,0.012116291753793525,0.012116291753793525,267675.6161,0.027263786842736983,0.027263786842736983,534452.2256,0.06803112278697093,0.06803112278697093,1071532.1086000002,0.07811357103195132,0.07811357103195132,1098247.5514999998,0.01973960505605248,0.69798020804573,3255952.5946
CELR,0.0019267822736030878,0.016137017198902585,0.016137017198902585,113944.62221,0.04047837792717823,0.04047837792717823,248224.61526000002,0.04047837792717823,0.04047837792717823,248224.61526000002,0.04047837792717823,0.04047837792717823,248224.61526000002,0.02,0.6481906236952698,956219.06565
CETUS,0.00030165912518852466,0.005652643813087298,0.005652643813087298,29473.382829999995,0.005652643813087298,0.005652643813087298,29473.382829999995,0.005652643813087298,0.005652643813087298,29473.382829999995,0.005652643813087298,0.005652643813087298,29473.382829999995,0.02,0.6363583989772928,488678.1578
CFX,9.987016878061582e-05,0.0020310340579547267,0.0020310340579547267,39857.92414,0.0020310340579547267,0.0020310340579547267,39857.92414,0.0020310340579547267,0.0020310340579547267,39857.92414,0.0020310340579547267,0.0020310340579547267,39857.92414,0.02,0.9029027597491817,3022071.21644
CGPT,0.000897263346792247,0.005423977194288778,0.005423977194288778,16347.03257,0.005423977194288778,0.005423977194288778,16347.03257,0.005423977194288778,0.005423977194288778,16347.03257,0.005423977194288778,0.005423977194288778,16347.03257,0.02,0.6695737524176315,1227127.3225
CHILLGUY,0.0004952947003466861,0.011362531487967894,0.011362531487967894,33523.17066,0.011362531487967894,0.011362531487967894,33523.17066,0.011362531487967894,0.011362531487967894,33523.17066,0.011362531487967894,0.011362531487967894,33523.17066,0.02,0.90359797682038,492913.25007
CHR,0.0030769230769230583,0.012342357255509272,0.012342357255509272,154334.53230000002,0.041464610698792745,0.041464610698792745,389885.16089999996,0.04914735843710459,0.04914735843710459,392311.49389999994,0.04914735843710459,0.04914735843710459,392311.49389999994,0.02,0.7699585131065505,1170175.7731
CHZ,0.00013622122326653212,0.0024468353294181296,0.0024468353294181296,113705.04582999999,0.0029432862939995103,0.0029432862939995103,126722.75809999999,0.0029432862939995103,0.0029432862939995103,126722.75809999999,0.0029432862939995103,0.0029432862939995103,126722.75809999999,0.01304457297670781,0.898104531603449,12344196.2511
CKB,0.00033344448149387555,0.0067880313246347366,0.0067880313246347366,48684.625377000004,0.0067880313246347366,0.0067880313246347366,48684.625377000004,0.0067880313246347366,0.0067880313246347366,48684.625377000004,0.0067880313246347366,0.0067880313246347366,48684.625377000004,0.02,0.5130207104998679,820719.675361
COAI,0.0001570598397989461,0.003623055224330723,0.003623055224330723,25728.817699999992,0.003623055224330723,0.003623055224330723,25728.817699999992,0.003623055224330723,0.003623055224330723,25728.817699999992,0.003623055224330723,0.003623055224330723,25728.817699999992,0.02,1.3429995813449684,1359758.0258
COMP,0.00027972027972022405,0.004130163965793674,0.004130163965793674,113279.44338,0.005731603253516858,0.005731603253516858,132481.41509999998,0.005731603253516858,0.005731603253516858,132481.41509999998,0.005731603253516858,0.005731603253516858,132481.41509999998,0.02,0.9224166800182401,4269472.29049
COOKIE,0.00024055809477987957,0.005222731336072409,0.005222731336072409,43565.79678999999,0.005222731336072409,0.005222731336072409,43565.79678999999,0.005222731336072409,0.005222731336072409,43565.79678999999,0.005222731336072409,0.005222731336072409,43565.79678999999,0.02,0.7091709879964906,1168588.58715
COS,0.0005527915975677305,0.008056819965704638,0.008056819965704638,45697.758921,0.008056819965704638,0.008056819965704638,45697.758921,0.008056819965704638,0.008056819965704638,45697.758921,0.008056819965704638,0.008056819965704638,45697.758921,0.011789528504872363,0.44868789881320514,3771938.606343
COTI,0.0004053506282934573,0.009190523816937673,0.009190523816937673,37081.775680000006,0.009205026413219458,0.009205026413219458,37081.775680000006,0.009205026413219458,0.009205026413219458,37081.775680000006,0.009205026413219458,0.009205026413219458,37081.775680000006,0.02,0.6374281310250515,1122713.77951
COW,0.00020639834881318677,0.004745855635427677,0.004745855635427677,51595.960100000004,0.004745855635427677,0.004745855635427677,51595.960100000004,0.004745855635427677,0.004745855635427677,51595.960100000004,0.004745855635427677,0.004745855635427677,51595.960100000004,0.02,1.043236620013964,2971603.4362
CRV,0.0020120724346076478,0.002097236853416188,0.002097236853416188,397197.8919,0.004866331741295483,0.004866331741295483,702517.4545,0.00958525670045915,0.00958525670045915,1414041.4679,0.028856300721621847,0.028856300721621847,2668782.8715,0.005107812875697863,0.6494034476800687,42094756.192
CTK,0.0006172839506173017,0.005982450299384427,0.005982450299384427,22048.6474,0.005982450299384427,0.005982450299384427,22048.6474,0.005982450299384427,0.005982450299384427,22048.6474,0.005982450299384427,0.005982450299384427,22048.6474,0.02,0.888892717293185,774530.7034
CTSI,0.002105263157894797,0.016422603018599675,0.016422603018599675,123929.55010000001,0.04288664676934388,0.04288664676934388,266756.7776,0.04288664676934388,0.04288664676934388,266756.7776,0.04288664676934388,0.04288664676934388,266756.7776,0.02,0.5110609068823839,1104192.5562
CVC,0.0003290556103981439,0.004484737716821069,0.004484737716821069,11863.3014,0.004484737716821069,0.004484737716821069,11863.3014,0.004484737716821069,0.004484737716821069,11863.3014,0.004484737716821069,0.004484737716821069,11863.3014,0.012691767153758774,0.4632371002033802,3469215.29662
CVX,0.0002427773731487958,0.006573032652438595,0.006573032652438595,56661.3207,0.006573032652438595,0.006573032652438595,56661.3207,0.006573032652438595,0.006573032652438595,56661.3207,0.006573032652438595,0.006573032652438595,56661.3207,0.02,0.6731910848988386,1050825.1081
CYBER,9.001710324960752e-05,0.001900870251472593,0.001900870251472593,9896.57912,0.001900870251472593,0.001900870251472593,9896.57912,0.001900870251472593,0.001900870251472593,9896.57912,0.001900870251472593,0.001900870251472593,9896.57912,0.019751561147712513,0.9326770785407877,5806688.48467
DASH,0.00014874312063064125,0.0016018831024670532,0.0016018831024670532,128941.23183,0.003253762930616056,0.003253762930616056,298159.58371000004,0.003253762930616056,0.003253762930616056,298159.58371000004,0.003253762930616056,0.003253762930616056,298159.58371000004,0.02,3.234278933870461,22801508.23623
